SC,名称,市場,業種,日付,株価,前日比,前日比（％）,前日終値,始値,高値,安値,出来高,売買代金（千円）,時価総額（百万円）,値幅下限,値幅上限
0001,日経平均株価（日経225）,東証,株価指数,20210804,27584.08,-57.75,-0.21,27641.83,27612.9,27636.34,27488.74,-,-,-,-,-
0002,TOPIX（東証株価指数）,東証,株価指数,20210804,1921.43,-9.71,-0.5,1931.14,1928.73,1930.6,1918.58,-,-,-,-,-
1301,極洋,東証一部,水産・農林,20210804,2989,-11,-0.37,3000,2985,2989,2972,12700,37896,32665,2300,3700
1332,日本水産,東証一部,水産・農林,20210804,607,30,5.2,577,574,617,556,5888000,3504298,189645,477,677
1333,マルハニチロ,東証一部,水産・農林,20210804,2430,-24,-0.98,2454,2445,2453,2407,168000,407330,127956,1954,2954
1352,ホウスイ,東証一部,卸売,20210804,951,-17,-1.76,968,964,966,951,2300,2206,7968,818,1118
1375,雪国まいたけ,東証一部,水産・農林,20210804,1680,-6,-0.36,1686,1686,1687,1673,60700,101954,67050,1286,2086
1376,カネコ種苗,東証一部,水産・農林,20210804,1440,-4,-0.28,1444,1447,1447,1440,1400,2019,16953,1144,1744
1377,サカタのタネ,東証一部,水産・農林,20210804,3645,-10,-0.27,3655,3670,3685,3635,54200,198409,172812,2955,4355
1379,ホクト,東証一部,水産・農林,20210804,1935,-4,-0.21,1939,1936,1937,1927,50900,98416,64550,1539,2339
1380,秋川牧園,JQS,水産・農林,20210804,1128,-1,-0.09,1129,1128,1128,1118,300,337,4714,829,1429
1381,アクシーズ,JQS,水産・農林,20210804,3105,-55,-1.74,3160,3100,3130,3100,2800,8706,17442,2460,3860
1382,ホーブ,JQS,水産・農林,20210804,969,-18,-1.82,987,983,983,965,4300,4196,738,837,1137
1383,ベルグアース,JQS,水産・農林,20210804,2472,2,0.08,2470,2470,2489,2469,1300,3218,3139,1970,2970
1384,ホクリヨウ,東証一部,水産・農林,20210804,762,-16,-2.06,778,773,773,744,27300,20688,6446,628,928
1400,ルーデン・ホールディングス,JQG,建設,20210804,298,-7,-2.3,305,301,303,296,36400,10927,3849,225,385
1401,エムビーエス,東証マザ,建設,20210804,556,-7,-1.24,563,565,565,551,9100,5065,4299,463,663
1407,ウエストホールディングス,JQS,建設,20210804,5060,10,0.2,5050,5240,5260,4990,704600,3593255,232899,4050,6050
1413,ヒノキヤグループ,東証一部,建設,20210804,2446,-11,-0.45,2457,2453,2489,2440,11400,27990,33204,1957,2957
1414,ショーボンドホールディングス,東証一部,建設,20210804,4660,-5,-0.11,4665,4680,4680,4640,79500,370359,264433,3965,5370
1417,ミライト・ホールディングス,東証一部,建設,20210804,2131,-39,-1.8,2170,2163,2169,2131,330900,709412,230841,1670,2670
1418,インターライフホールディングス,JQS,建設,20210804,206,-1,-0.48,207,207,207,204,16100,3312,4122,127,287
1419,タマホーム,東証一部,建設,20210804,2391,-72,-2.92,2463,2469,2484,2367,1042800,2511337,70429,1963,2963
1420,サンヨーホームズ,東証一部,建設,20210804,725,-6,-0.82,731,731,735,725,5700,4145,9150,581,881
1429,日本アクア,東証一部,建設,20210804,544,-3,-0.55,547,545,550,540,31800,17293,18909,447,647
